"AbilityId","Name","AbilityTypeId","Description","Cost"
113,"Bahamut",4,"Deals heavy (88 base power) non-elemental damage to all enemies. ",56
114,"Ark",4,"Deals extreme (106 base power) Shadow-elemental damage to all enemies. With even a small stack of Lapis Lazuli in your inventory and the long animation, Ark is the strongest normal-damage-formula attack in the game and hits all enemies (it even outpowers Madeen, although Ark is of an inferior element). You can also cheese out the long animation version especially: equip everyone with Auto-Regen and Dagger with Boost, then Summon Ark anytime your HP gets low and don't enter the menu. Everyone will Regen most of their lost HP, after which the enemy will take heavy damage. This attack rocks, and is frankly one of the only reasons to bother with Dagger after Eiko joins up (the other is Bahamut, which is likewise capable of out-powering Madeen and is non-elemental). ",80
115,"Fenrir",4,"Normally, Fenrir deals medium (42 base power) Earth-elemental damage to all enemies. However, if Eiko has a Maiden Prayer equipped, Fenrir deals medium (44 base power) Wind-elemental damage to all enemies. ",30
116,"Phoenix",4,"Revives all KO'd allies (the amount of HP they will have is dependent on the ally's Spirit stat) and hits all enemies for medium (40 base power) Fire-elemental damage (not increased by any Gem). In addition, if the entire party is KO'd and Eiko is in the party, there is a chance Phoenix will be Summoned as a final attack (the chance increases depending on the number of Phoenix Pinions in your inventory), reviving all allies but dealing no damage to the enemy party and costing no MP. ",32
117,"Carbuncle",4,"Summons Carbuncle, which buffs your party based upon Eiko's equipped Add-on",24
118,"Madeen",4,"Deals heavy (71 base power) Holy-elemental damage to all enemies. ",54
119,"Cure",5,"Heals a small amount of HP (16 base power) to one or multiple targets. Damages Undeads. ",6
120,"Cura",5,"Heals a moderate amount of HP (38 base power) to one or multiple targets. Damages Undeads.",10
121,"Curaga",5,"Curaga",22
122,"Regen ",5,"Sets Regen status on one target. ",14
123,"Life",5,"Revives one target from KO status. Reduces Undeads to single-digit HP. ",8
124,"Full-Life",5,"Revives one target from KO status, typically restoring them to full HP. Instantly KO's Undeads. ",24
125,"Scan",5,"Shows one target's HP, MP, and elemental weaknesses (if any). Fails on many bosses. ",4
126,"Panacea",5,"Removes Poison and Venom from one target. ",4
127,"Stona",5,"Removes Petrify and Gradual Petrify from one target. ",8
128,"Esuna",5,"Removes most Status Ailments (except KO, Doom, and Zombie) from one target. ",6
129,"Shell",5,"Applies Shell status to one target. ",6
130,"Protect ",5,"Applies Protect status to one target. ",6
131,"Haste ",5,"Applies Haste status to one target. ",8
132,"Silence",5,"Inflicts Silence on one target with 50% base accuracy. ",8
133,"Mini ",5,"Inflicts Mini on one target with 50% base accuracy. ",8
134,"Reflect ",5,"Applies Reflect status to one target. ",6
135,"Confuse ",5,"Inflicts Confuse on one target with 50% base accuracy. ",8
136,"Berserk ",5,"Inflicts Berserk status on one target with 50% base accuracy. ",6
137,"Blind",5,"Inflicts Darkness status on one target with 75% base accuracy. ",6
138,"Float ",5,"Applies Float status to one target. ",6
139,"Dispel",5,"Removes Shell, Protect, Haste, Reflect, Regen, Float, Vanish, and Auto-Life statuses from one target. ",16
140,"Might",5,"increases one target's Strength stat by 25% for the duration of the battle, up to a total maximum of 99 Strength. This ability can be used multiple times to ""stack"" the effect. ",14
141,"Jewel",5,"Extracts one Ore from target and adds it to inventory (50% base accuracy). This can be done as often as you like (enemies will never ""run out""). ",4
142,"Holy",5,"Inflicts extreme (113 base power) Holy-elemental damage on one target. ",36
143,"Lancer",6,"Deals 120% normal weapon damage, and drains 1/6th of the damage done as MP added to Freya's current MP. ",10
144,"Reis's Wind",6,"Applies Regen status on all characters. ",12
145,"Dragon Breath",6,"Deals damage to all enemies equal to target's max HP - target's current HP. ",78
146,"White Draw",6,"Damages an enemy's MP and restores to each party member a small amount of MP. ",36
147,"Luna",6,"Inflicts Berserk on all targets (friends and foes). ",12
148,"Six Dragons",6,"For each ally, randomly restores to maximum or reduces to 1 HP and/or MP. ",28
149,"Cherry Blossom",6,"Deals 150% normal weapon damage to one target. ",46
150,"Dragon's Crest",6,"Deals damage equal to the square of the total number of Dragons you've defeated (for example, if you kill 50 dragons, this will deal 502 = 2,500 damage) to one enemy. ",16
151,"Goblin Punch",7,"Inflicts a low (20 base power) amount of non-elemental magic damage to one target. Should Quina's level be the same as the target's, damage is increased. ",4
152,"LV5 Death",7,"Inflicts KO status on all enemies with a level that is a multiple of 5. ",20
153,"LV4 Holy",7,"Inflicts medium (34 base power) Holy-elemental damage on all enemies with a level that is a multiple of 4. ",22
154,"LV3 Def-less",7,"Reduces Defense and Magic Defense by a random amount (between 0 and the enemy's total Defense/Magic Defense) for all enemies with a level that is a multiple of 3. ",12
155,"Doom ",7,"Inflicts Doom status on one target with 25% base accuracy. ",12
156,"Roulette",7,"Inflicts unblockable KO status on a random target (can be character or monster, can also hit caster). ",18
157,"Aqua Breath",7,"Inflicts Water-elemental damage equal to 25% of all enemies' maximum HP. Fails against bosses. ",14
158,"Mighty Guard",7,"Applies Protect and Shell statuses to all characters. ",64
159,"Matra Magic",7,"Reduces one target's HP to 1 with 20% base accuracy. Ideal for Eating enemies. ",8
160,"Bad Breath",7,"Inflicts Confuse, Darkness, Poison, Slow, and Mini on one enemy with a base accuracy of 40%. ",16
161,"Limit Glove",7,"If caster's HP is greater than 1, attack misses. If caster's HP equals 1, inflicts 9,999 unblockable non-elemental damage to one target. ",10
162,"1,000 Needles",7,"Inflicts 1,000 fixed non-elemental damage to one target. ",8
163,"Pumpkin Head",7,"Inflicts damage to one target equal to caster's maximum HP - caster's current HP. ",12
164,"Night",7,"Inflicts Sleep status on all targets (allies and enemies) with 100% accuracy (misses if target is immune to status). ",14
165,"Twister",7,"Inflicts random Wind-elemental damage to all enemies, capped at 55x the total of caster's level and Magic stat (before elemental effects are considered). ",22
166,"Earth Shake",7,"Inflicts heavy (75 base power) Earth-elemental damage on all enemies. ",20
167,"Angel's Snack",7,"Uses 1 Remedy item on each party member. If there are Remedy items in inventory but not enough for the entire party, all remaining Remedy items are used on a random party member (but never on the same party member twice). If no Remedy items are in inventory, the move cancels and your turn is lost. Highly useful in fights where statuses come into play. ",4
168,"Frog Drop",7,"Inflicts damage equal to caster's level times the number of frogs Quina has caught to one enemy. ",10
169,"White Wind",7,"Every party member recovers HP equal to 1/3 of the caster's maximum HP. ",14
170,"Vanish ",7,"Applies Vanish status to one target. ",8
171,"Frost",7,"Inflicts Freeze status on one target with 30% base accuracy. ",8
172,"Mustard Bomb",7,"Inflicts Heat status on one target with 30% base accuracy. ",10
173,"Magic Hammer",7,"Damages target's MP by a random amount up to the target's current HP total. ",2
174,"Auto-Life",7,"Applies Auto-Life status to one target. ",14
175,"Aura",8,"Applies Regen and Auto-Life to one target. ",12
176,"Chakra",8,"Restores 20% each of one character's HP and MP. If Power Up is equipped, this doubles to 40%. ",4
177,"Countdown",8,"Inflicts Doom status on one target with 50% base accuracy. ",16
178,"Curse",8,"Makes one enemy weak to a random element. Can be used repeatedly. ",12
179,"Demi Shock",8,"Damages one enemy for 20% of its maximum HP. Fails against bosses. ",20
180,"No Mercy",8,"Inflicts 1.5x normal weapon damage in the element of Amarant's equipped weapon. ",12
181,"Revive",8,"Revives one target from KO status. ",20
182,"Spare Change",8,"Throws Gil at one enemy, dealing damage. The amount of damage and Gil lost depend on Amarant's Level (and the damage also upon his Spirit). ",0
